iter	Logloss
0	0.5809023959
1	0.50568583
2	0.4630928974
3	0.4371861442
4	0.4045764564
5	0.3731192746
6	0.3604370329
7	0.3461555424
8	0.3259722248
9	0.3075193807
10	0.2901277304
11	0.2791497165
12	0.2671613924
13	0.2566785456
14	0.2465626943
15	0.2425916474
16	0.2309267228
17	0.22885829
18	0.2253356246
19	0.2197701327
20	0.2129868739
21	0.2078134223
22	0.2022317421
23	0.1978975386
24	0.1941789812
25	0.1850762661
26	0.1738598597
27	0.17158845
28	0.1664506213
29	0.1570930645
30	0.151544641
31	0.1471433678
32	0.1434131595
33	0.1380306386
34	0.1343321655
35	0.1318593529
36	0.1241537984
37	0.1187879991
38	0.1174796596
39	0.1151465654
40	0.1130040513
41	0.1089012038
42	0.1067972785
43	0.1029198634
44	0.09930058433
45	0.09550218255
46	0.09281110245
47	0.09166215537
48	0.08868059631
49	0.08628895851
50	0.08340241267
51	0.08021960306
52	0.07729330074
53	0.07477619688
54	0.07308299128
55	0.07104490559
56	0.06990081889
57	0.06743237404
58	0.06490386043
59	0.06342401848
60	0.0616598763
61	0.06123800155
62	0.05967586347
63	0.0581751445
64	0.05674227025
65	0.05551701592
66	0.05408275501
67	0.05203568915
68	0.05046339738
69	0.04936011419
70	0.04762716979
71	0.04656501641
72	0.04580057457
73	0.04477617342
74	0.04388328879
75	0.04298679118
76	0.042011514
77	0.0414086614
78	0.04068825512
79	0.04028042925
80	0.03967370858
81	0.03895523493
82	0.03808888614
83	0.03737768112
84	0.03670529923
85	0.0357898315
86	0.03516091305
87	0.03419285905
88	0.03344357885
89	0.03252007976
90	0.0318132571
91	0.03099724427
92	0.03056083431
93	0.03022807428
94	0.02925295617
95	0.02888056312
96	0.02845062287
97	0.02784461218
98	0.02776921151
99	0.02730341908
100	0.02697607294
101	0.02660452111
102	0.02641389329
103	0.02592572743
104	0.02521549748
105	0.02490331096
106	0.02450093619
107	0.02426990363
108	0.02396624668
109	0.02373893882
110	0.02333985619
111	0.02297142056
112	0.02262832361
113	0.02232562098
114	0.02201757304
115	0.0218052903
116	0.02157171312
117	0.02124243601
118	0.02101446875
119	0.02096113048
120	0.02069719333
121	0.02044338149
122	0.01998884739
123	0.01984947831
124	0.01953351451
125	0.01948974472
126	0.01926460237
127	0.01886416027
128	0.01858975517
129	0.01848071089
130	0.01826296147
131	0.01810322707
132	0.01784704197
133	0.01782015096
134	0.01779460925
135	0.01757863591
136	0.0173990402
137	0.01714703537
138	0.01700323104
139	0.01678664777
140	0.01641663708
141	0.01610700065
142	0.0159363119
143	0.01567645882
144	0.01556932859
145	0.01544892607
146	0.01520019946
147	0.01510535305
148	0.01496234649
149	0.01473752998
